rank,token_pos,token_str,token_id,attention_weight,pair_idx,script_label,pair_indicator,prompt_len_tokens
1,840,'`\n',4077,0.041877,66,malicious,Invoke-Expression,848
2,832,']',60,0.033643,66,malicious,Invoke-Expression,848
3,834,'ASCII',57550,0.030825,66,malicious,Invoke-Expression,848
4,35,' as',439,0.029526,66,malicious,Invoke-Expression,848
5,835,')).',4682,0.029076,66,malicious,Invoke-Expression,848
6,846,'<|end_header_id|>',128007,0.022592,66,malicious,Invoke-Expression,848
7,831,'.Encoding',59864,0.021343,66,malicious,Invoke-Expression,848
8,825,'Dec',5005,0.02013,66,malicious,Invoke-Expression,848
9,823,']',60,0.019377,66,malicious,Invoke-Expression,848
10,838,'();\n',545,0.01314,66,malicious,Invoke-Expression,848
11,842,':',25,0.013084,66,malicious,Invoke-Expression,848
12,1,'<|start_header_id|>',128006,0.012952,66,malicious,Invoke-Expression,848
13,0,'<|begin_of_text|>',128000,0.012942,66,malicious,Invoke-Expression,848
14,508,'F',37,0.012309,66,malicious,Invoke-Expression,848
0,112,']\n',933,0.071289,66,benign,Invoke-Expression,351
1,151,']\n',933,0.069223,66,benign,Invoke-Expression,351
2,131,']\n',933,0.06023,66,benign,Invoke-Expression,351
3,35,' as',439,0.03058,66,benign,Invoke-Expression,351
4,343,'`\n',4077,0.020839,66,benign,Invoke-Expression,351
5,323,'-',12,0.020231,66,benign,Invoke-Expression,351
6,285,'($',703,0.018372,66,benign,Invoke-Expression,351
7,268,'-',12,0.01792,66,benign,Invoke-Expression,351
8,82,'\n',198,0.013601,66,benign,Invoke-Expression,351
9,314,'Name',678,0.013599,66,benign,Invoke-Expression,351
10,291,'-',12,0.013556,66,benign,Invoke-Expression,351
11,194,'.',13,0.013181,66,benign,Invoke-Expression,351
12,332,'null',2994,0.012757,66,benign,Invoke-Expression,351
13,325,"' ""`'",37073,0.012696,66,benign,Invoke-Expression,351
14,225,'-',12,0.012518,66,benign,Invoke-Expression,351
